team,elo,matches_played,wins,draws,losses,points_per_match_all,goals_scored_all,goals_conceded_all,goal_diff_all,abs_goal_diff_all,total_goals_all,clean_sheet_rate_all,failed_to_score_rate_all,both_teams_scored_rate_all,low_scoring_rate_all,tight_match_rate_all,scoreless_draw_rate_all,win_rate_all,draw_rate_all,loss_rate_all,weighted_points_per_match_all,weighted_goal_diff_all,elo_delta_avg_all,win_streak,unbeaten_streak,recent_matches,recent_form_10,recent_goal_diff_10,recent_abs_goal_diff_10,recent_goals_scored_10,recent_goals_conceded_10,recent_total_goals_10,recent_win_rate_10,recent_draw_rate_10,recent_loss_rate_10,recent_clean_sheet_rate_10,recent_failed_to_score_rate_10,recent_both_teams_scored_rate_10,recent_low_scoring_rate_10,recent_tight_match_rate_10,recent_scoreless_draw_rate_10,recent_weighted_form_10,recent_weighted_goal_diff_10,recent_opponent_elo_avg_10,recent_elo_delta_avg_10,last_match_date
South Korea,1828.4433714743616,399,200,106,93,1.7694235588972431,1.593984962406015,0.9022556390977443,0.6917293233082706,1.493734335839599,2.4962406015037595,0.46867167919799496,0.24561403508771928,0.39849624060150374,0.5714285714285714,0.6365914786967418,0.11278195488721804,0.5012531328320802,0.2656641604010025,0.23308270676691728,1.754844759324875,0.7041050218795607,0.8231663445472762,2.0,2.0,10.0,1.9,0.3,2.3,1.5,1.2,2.7,0.6,0.1,0.3,0.6,0.3,0.1,0.6,0.4,0.0,1.8999999999999992,0.29999999999999993,1721.6638977658288,-0.5797002856500589,2026-06-03
Canada,1819.9476038897872,256,108,62,86,1.5078125,1.453125,1.09375,0.359375,1.625,2.546875,0.41015625,0.3203125,0.37890625,0.55078125,0.56640625,0.109375,0.421875,0.2421875,0.3359375,1.5145234493192166,0.43237518910741407,1.2497953276944815,0.0,7.0,10.0,1.7,0.7,0.9,1.1,0.4,1.5,0.4,0.5,0.1,0.7,0.4,0.2,0.8,0.7,0.3,1.6999999999999993,0.6999999999999998,1745.6713240016263,1.2306483200110727,2026-06-05
Algeria,1819.4779719945748,303,156,73,74,1.7854785478547854,1.7062706270627064,0.9834983498349835,0.7227722772277227,1.5082508250825082,2.68976897689769,0.40264026402640263,0.2079207920792079,0.45874587458745875,0.5115511551155115,0.6039603960396039,0.06930693069306931,0.5148514851485149,0.24092409240924093,0.24422442244224424,1.708221110683603,0.6301141464665908,1.0543827458566841,2.0,4.0,10.0,2.3,1.7,2.1,2.1,0.4,2.5,0.7,0.2,0.1,0.7,0.2,0.2,0.6,0.5,0.1,2.3198653198653205,1.3063973063973067,1675.057090800189,4.314217447886248,2026-06-10
Denmark,1811.6009249333138,290,143,75,72,1.7379310344827585,1.6689655172413793,0.993103448275862,0.6758620689655173,1.4965517241379311,2.6620689655172414,0.38620689655172413,0.22413793103448276,0.47586206896551725,0.49310344827586206,0.5896551724137931,0.08620689655172414,0.49310344827586206,0.25862068965517243,0.2482758620689655,1.6906802356722048,0.630155329405464,1.0744859480459106,1.0,4.0,10.0,1.9,1.4,1.8,2.4,1.0,3.4,0.5,0.4,0.1,0.5,0.2,0.5,0.2,0.5,0.2,1.8884615384615389,1.503846153846154,1644.9716073859702,0.43256365775429817,2026-06-07
Nigeria,1810.5001793603167,324,162,95,67,1.7932098765432098,1.5185185185185186,0.8549382716049383,0.6635802469135802,1.25,2.373456790123457,0.4382716049382716,0.22839506172839505,0.4382716049382716,0.5833333333333334,0.6759259259259259,0.10493827160493827,0.5,0.2932098765432099,0.20679012345679013,1.8335956824825812,0.7004722284686318,0.9583338869145569,0.0,0.0,10.0,1.9,1.1,1.3,1.8,0.7,2.5,0.5,0.4,0.1,0.6,0.2,0.4,0.4,0.6,0.2,1.921259842519685,1.2559055118110236,1728.5945092132965,5.56966362926415,2026-06-10
Paraguay,1791.79252484058,305,98,94,113,1.2721311475409836,1.1016393442622952,1.2295081967213115,-0.12786885245901639,1.1901639344262296,2.3311475409836064,0.34098360655737703,0.3475409836065574,0.43934426229508194,0.6032786885245902,0.6885245901639344,0.12786885245901639,0.32131147540983607,0.3081967213114754,0.3704918032786885,1.2407764494150986,-0.16788790332947767,0.9566968027559958,1.0,1.0,10.0,1.4,0.2,1.2,1.2,1.0,2.2,0.4,0.2,0.4,0.4,0.3,0.4,0.5,0.8,0.1,1.3796791443850267,0.14973262032085563,1810.6470352873082,1.3240493251718433,2026-06-05
Austria,1790.0950796364577,256,109,57,90,1.5,1.5234375,1.25,0.2734375,1.46875,2.7734375,0.2890625,0.24609375,0.5234375,0.50390625,0.609375,0.05859375,0.42578125,0.22265625,0.3515625,1.5241975719274923,0.30833194744719794,1.133183904829911,3.0,5.0,10.0,2.5,2.3,2.5,2.7,0.4,3.1,0.8,0.1,0.1,0.6,0.1,0.3,0.6,0.6,0.0,2.4081632653061233,2.3551020408163272,1445.7980449423544,0.03984352460247616,2026-06-01
Panama,1777.6782227669212,362,135,94,133,1.3784530386740332,1.2679558011049723,1.2900552486187846,-0.022099447513812154,1.5027624309392265,2.5580110497237567,0.32044198895027626,0.31767955801104975,0.4419889502762431,0.5441988950276243,0.6243093922651933,0.08011049723756906,0.3729281767955801,0.2596685082872928,0.3674033149171271,1.4127058273969457,0.045661567207754376,0.7670669137207787,0.0,2.0,10.0,1.6,0.2,1.2,1.8,1.6,3.4,0.4,0.4,0.2,0.1,0.1,0.8,0.5,0.7,0.0,1.778378378378378,0.4756756756756757,1652.1382337807663,-0.9935955549515864,2026-06-06
Uzbekistan,1777.1942744667417,292,137,63,92,1.6232876712328768,1.5924657534246576,1.0753424657534247,0.5171232876712328,1.6472602739726028,2.6678082191780823,0.410958904109589,0.2808219178082192,0.3938356164383562,0.5068493150684932,0.5616438356164384,0.08561643835616438,0.4691780821917808,0.21575342465753425,0.3150684931506849,1.7031272940831133,0.5965350168844543,0.9492954605025368,0.0,0.0,10.0,1.5,0.5,1.3,1.4,0.9,2.3,0.4,0.3,0.3,0.5,0.3,0.4,0.5,0.5,0.2,1.609929078014184,0.7163120567375886,1717.5335325394403,0.1175321029422621,2026-06-08
Russia,1776.7331522462935,262,128,72,62,1.7404580152671756,1.6984732824427482,0.9694656488549618,0.7290076335877863,1.5610687022900764,2.66793893129771,0.41603053435114506,0.22137404580152673,0.45038167938931295,0.5267175572519084,0.5954198473282443,0.08778625954198473,0.48854961832061067,0.2748091603053435,0.2366412213740458,1.722230877083665,0.686088175728308,1.0562334055202034,2.0,2.0,10.0,2.0,1.2,1.8,1.9,0.7,2.6,0.6,0.2,0.2,0.4,0.3,0.4,0.4,0.4,0.1,1.9999999999999993,1.1999999999999997,1665.869253128723,1.529542585979947,2026-06-09
